1024, 1, 3.563086
1024, 2, 3.527832
1024, 4, 3.545898
1024, 8, 3.586035
1024, 16, 3.667969
1024, 32, 3.196289
1024, 64, 2.864941
1024, 128, 2.566602
1024, 256, 2.394727
1024, 512, 2.568164
2048, 1, 3.496582
2048, 2, 3.512695
2048, 4, 4.957715
2048, 8, 3.547852
2048, 16, 3.809326
2048, 32, 3.661084
2048, 64, 3.187891
2048, 128, 2.875391
2048, 256, 2.529932
2048, 512, 2.389941
2048, 1024, 2.559180
4096, 1, 3.502075
4096, 2, 3.895728
4096, 4, 3.623706
4096, 8, 3.532104
4096, 16, 3.547021
4096, 32, 3.582935
4096, 64, 3.737256
4096, 128, 3.186841
4096, 256, 2.871875
4096, 512, 2.502148
4096, 1024, 2.482788
4096, 2048, 2.787085
8192, 1, 3.579150
8192, 2, 3.505249
8192, 4, 3.574792
8192, 8, 3.562671
8192, 16, 3.535144
8192, 32, 3.781763
8192, 64, 3.634192
8192, 128, 3.698560
8192, 256, 3.175659
8192, 512, 2.907129
8192, 1024, 2.647046
8192, 2048, 2.380591
8192, 4096, 2.550159
16384, 1, 3.554077
16384, 2, 3.594952
16384, 4, 3.548444
16384, 8, 3.586951
16384, 16, 3.868933
16384, 32, 3.842078
16384, 64, 3.884174
16384, 128, 3.896075
16384, 256, 4.075049
16384, 512, 3.426532
16384, 1024, 3.234711
16384, 2048, 2.496051
16384, 4096, 2.429529
16384, 8192, 2.605139
32768, 1, 3.552432
32768, 2, 3.572183
32768, 4, 3.588443
32768, 8, 3.609692
32768, 16, 3.855746
32768, 32, 3.875391
32768, 64, 3.926132
32768, 128, 3.875671
32768, 256, 3.952112
32768, 512, 3.931406
32768, 1024, 3.480786
32768, 2048, 3.143475
32768, 4096, 2.548413
32768, 8192, 2.430087
32768, 16384, 2.633521
65536, 1, 3.539105
65536, 2, 3.527983
65536, 4, 3.539819
65536, 8, 3.582942
65536, 16, 3.908766
65536, 32, 3.905017
65536, 64, 3.833110
65536, 128, 3.874399
65536, 256, 3.852965
65536, 512, 3.864040
65536, 1024, 3.913208
65536, 2048, 3.460741
65536, 4096, 3.263269
65536, 8192, 2.623615
65536, 16384, 2.466006
65536, 32768, 2.599185
131072, 1, 3.598744
131072, 2, 3.584669
131072, 4, 3.619206
131072, 8, 5.782655
131072, 16, 3.821214
131072, 32, 3.951196
131072, 64, 3.961037
131072, 128, 3.952717
131072, 256, 3.972325
131072, 512, 4.059815
131072, 1024, 4.131314
131072, 2048, 4.145874
131072, 4096, 3.831932
131072, 8192, 3.396548
131072, 16384, 2.731543
131072, 32768, 2.389771
131072, 65536, 2.557607
262144, 1, 3.535370
262144, 2, 3.541954
262144, 4, 3.555829
262144, 8, 3.570702
262144, 16, 3.813826
262144, 32, 3.968793
262144, 64, 3.948634
262144, 128, 3.943126
262144, 256, 3.944766
262144, 512, 4.138323
262144, 1024, 4.101187
262144, 2048, 4.119557
262144, 4096, 4.115744
262144, 8192, 3.822303
262144, 16384, 3.394688
262144, 32768, 2.779180
262144, 65536, 2.402002
262144, 131072, 2.558106
524288, 1, 3.528116
524288, 2, 3.533705
524288, 4, 3.543518
524288, 8, 3.567575
524288, 16, 3.799660
524288, 32, 3.960899
524288, 64, 3.904724
524288, 128, 3.933293
524288, 256, 3.964380
524288, 512, 4.021519
524288, 1024, 4.101591
524288, 2048, 4.086381
524288, 4096, 4.088324
524288, 8192, 4.071529
524288, 16384, 3.759800
524288, 32768, 3.363036
524288, 65536, 2.726029
524288, 131072, 2.392149
524288, 262144, 2.563166
1048576, 1, 3.523117
1048576, 2, 3.528733
1048576, 4, 3.546008
1048576, 8, 3.563178
1048576, 16, 3.793190
1048576, 32, 3.967829
1048576, 64, 3.925295
1048576, 128, 3.913100
1048576, 256, 3.922062
1048576, 512, 3.922127
1048576, 1024, 3.976921
1048576, 2048, 3.974328
1048576, 4096, 3.980060
1048576, 8192, 3.954112
1048576, 16384, 4.036244
1048576, 32768, 3.864951
1048576, 65536, 3.634539
1048576, 131072, 2.507018
1048576, 262144, 2.392638
1048576, 524288, 2.561391
2097152, 1, 3.535541
2097152, 2, 3.531032
2097152, 4, 3.554430
2097152, 8, 3.578639
2097152, 16, 3.794152
2097152, 32, 3.952403
2097152, 64, 3.909094
2097152, 128, 3.902833
2097152, 256, 3.902884
2097152, 512, 3.870254
2097152, 1024, 3.902587
2097152, 2048, 3.898985
2097152, 4096, 3.902224
2097152, 8192, 3.890416
2097152, 16384, 3.925590
2097152, 32768, 4.021467
2097152, 65536, 3.819187
2097152, 131072, 3.563311
2097152, 262144, 2.504576
2097152, 524288, 2.389430
2097152, 1048576, 2.562301
4194304, 1, 3.524490
4194304, 2, 3.528726
4194304, 4, 3.541247
4194304, 8, 3.566377
4194304, 16, 3.793112
4194304, 32, 3.950044
4194304, 64, 3.902521
4194304, 128, 3.896570
4194304, 256, 3.898632
4194304, 512, 3.853430
4194304, 1024, 3.873337
4194304, 2048, 3.871316
4194304, 4096, 3.935129
4194304, 8192, 3.898445
4194304, 16384, 3.880046
4194304, 32768, 3.930397
4194304, 65536, 4.067751
4194304, 131072, 3.904736
4194304, 262144, 3.650674
4194304, 524288, 2.506049
4194304, 1048576, 2.390240
4194304, 2097152, 2.563126
8388608, 1, 3.536525
8388608, 2, 3.545134
8388608, 4, 3.630755
8388608, 8, 3.811503
8388608, 16, 4.336463
8388608, 32, 6.154649
8388608, 64, 6.122354
8388608, 128, 5.831290
8388608, 256, 6.020644
8388608, 512, 6.217114
8388608, 1024, 6.287011
8388608, 2048, 5.729202
8388608, 4096, 5.610315
8388608, 8192, 5.365226
8388608, 16384, 5.788046
8388608, 32768, 5.798832
8388608, 65536, 3.919535
8388608, 131072, 3.994752
8388608, 262144, 3.776009
8388608, 524288, 3.581978
8388608, 1048576, 2.505877
8388608, 2097152, 2.391457
8388608, 4194304, 2.561688
16777216, 1, 3.548981
16777216, 2, 3.572093
16777216, 4, 3.733700
16777216, 8, 3.907291
16777216, 16, 5.393282
16777216, 32, 9.148791
16777216, 64, 9.561205
16777216, 128, 8.994207
16777216, 256, 9.200829
16777216, 512, 10.166309
16777216, 1024, 10.930478
16777216, 2048, 12.313509
16777216, 4096, 13.537101
16777216, 8192, 13.028802
16777216, 16384, 11.425471
16777216, 32768, 11.413467
16777216, 65536, 6.844925
16777216, 131072, 3.907402
16777216, 262144, 3.989442
16777216, 524288, 3.801545
16777216, 1048576, 3.558198
